dataset,subject_id,rest_frontal_theta,work_frontal_theta,rest_theta_alpha,work_theta_alpha,perf_proxy,n_rest,n_work
DS007262,sub-001,145729211676368.38,208932555240121.1,1.9728849706917218,2.76170453835709,1.0,10,10
DS007262,sub-003,547812937068326.8,593681349706887.1,5.693688315990321,5.992213228853993,1.0,10,10
DS007262,sub-004,516779927511225.5,881938546662709.8,2.130042623425892,3.6656566335616416,1.0,10,10
DS007262,sub-005,228342347274633.6,192044180755159.38,1.5865839307472824,1.541943688664824,1.0,10,10
DS007262,sub-006,379586894774873.25,141212729236331.03,3.507586180821922,1.5869435706114268,1.0,10,10
DS007262,sub-007,289395358525673.2,298393490251599.44,2.9689365288535314,3.017373555846835,1.0,10,10
DS007262,sub-008,352853270247216.75,418751478099343.1,2.7231870654514636,3.4215389427334,1.0,10,10
DS007262,sub-009,476772370179869.8,350997247351747.4,3.0024595835797863,2.567043869311191,1.0,10,10
DS007262,sub-010,625966868009515.2,529920092647073.0,4.720362771629032,4.218031022788248,1.0,10,10
DS007262,sub-011,144707813043210.5,129502743519433.88,2.543296325211049,2.1090199276681627,1.0,10,10
DS007262,sub-012,344866905807201.3,377282006679930.75,2.083763971680178,2.405306312554799,1.0,10,10
DS007262,sub-013,355093875201225.1,282156712832865.3,1.3616315264729535,1.2930348225287311,1.0,10,10
DS007262,sub-014,306615384144303.06,333964089111129.6,1.569403216516212,1.5097361377917382,1.0,10,10
DS007262,sub-015,411180265745306.9,491913104799229.4,4.204797728275332,5.1762576867642895,1.0,10,10
DS007262,sub-016,286734451681103.2,328375617266880.9,2.015348235567436,2.775303775207481,1.0,10,10
DS007262,sub-018,156333985287176.16,200821781574736.8,2.29820512994581,2.4449515282337244,1.0,10,10
DS007262,sub-019,204438977799685.7,200814721812439.84,2.555649359352212,2.3175015553354292,1.0,10,10
DS007262,sub-020,281951181944755.56,349520789873313.75,1.7931647909075565,1.752494717598113,1.0,10,10
