dataset,subject_id,rest_frontal_theta,work_frontal_theta,rest_theta_alpha,work_theta_alpha,perf_proxy,n_rest,n_work
STEW,1,38.67066870311497,66.19122711760916,2.4574774675047246,5.1523091867381385,1.0,20,16
STEW,10,9.199783250129059,42.347099346538556,2.6036628445921988,2.6052694910467538,1.0,18,22
STEW,11,9.723050820872455,13.433725759881032,1.8045030661566879,1.644881507787402,1.0,15,20
STEW,12,10.8239615649264,24.00289520396441,0.4323222040739394,1.4309915469250574,1.0,18,27
STEW,13,19.896472787476746,10703.641366917602,2.5081975085178314,3.81179114156746,1.0,30,22
STEW,14,48.74130467654904,15.502686797451542,1.2197822809377659,1.2847794047080496,1.0,19,21
STEW,15,742.675421442004,15.60147482973764,3.253098386820416,1.656255135583309,1.0,26,30
STEW,16,157.03653655119194,31.64592004692302,1.8691588291422558,1.9470652838742726,1.0,25,24
STEW,17,6.444403869973681,5.30564093960325,1.0109878865163708,1.688387296810156,1.0,18,26
STEW,18,24780.97162530556,24.403026929478823,3.194075378354146,3.6656092196881787,1.0,25,23
STEW,19,19.429629210801494,28.181833818148544,0.8289294000865666,2.0286795810424443,1.0,27,21
STEW,2,8.021516586292936,20.37525580704728,1.142273926591691,1.9224165483202147,1.0,21,15
STEW,20,12.25609715294774,5.893841803702432,1.905292692598206,1.6752557763333602,1.0,21,21
STEW,21,18.994105417594746,47.7466508426369,2.481947026056893,2.7626141194616816,1.0,23,29
STEW,22,45.44676080649977,60.24278471654503,0.3352726229003653,2.1133525554539747,1.0,16,21
STEW,23,13.116458702042008,3145.2417922661057,1.5629767196628344,1.8831613951717228,1.0,11,10
STEW,24,22.591417799131122,71.8953729235643,0.5151646032125369,2.963185857081813,1.0,20,18
STEW,25,8.966254928161412,203.75274950071636,1.0347627297572466,2.310470406932693,1.0,16,24
STEW,26,18.801485287715867,13.285659280908543,2.044414559187817,1.737657922865798,1.0,27,19
STEW,27,17.235313491768128,935.1748910579278,1.2068170371007547,1.660319964407412,1.0,22,19
STEW,28,26.581208212677453,40.20141287874751,2.9353619063568535,3.2086080484008086,1.0,22,23
STEW,29,22.641319050914472,67.01658508683691,2.0735639436933586,6.312568834737648,1.0,12,20
STEW,3,37.246469554263015,29.13806179437543,0.6077328324212978,1.295934461399798,1.0,17,23
STEW,30,14.580008720174844,28.839788106647973,1.8096304704641568,3.347301855591438,1.0,15,11
STEW,31,21.50543131860794,36.3468595982058,2.070326279379095,2.9195648777209526,1.0,31,19
STEW,32,26.030548488809305,15.007510103258571,5.071268419608603,2.682248681174501,1.0,15,18
STEW,33,9.520635001191673,19.871493881124795,1.2223726368212726,1.9047559259494005,1.0,22,28
STEW,34,15.344033575130192,24.411405211099524,1.7003320686284715,3.298449307559294,1.0,16,21
STEW,35,9.33728391870003,1587.0761550298412,1.4175964826759309,1.9776763862130051,1.0,17,22
STEW,36,30.51853924098345,130.5597405686525,4.90918340618156,3.5565038127229838,1.0,28,18
STEW,37,152.22059170824792,26.17031000718036,2.330756470873747,1.7761621469992026,1.0,21,27
STEW,38,361.3368602519645,11106.817309028347,1.9617757397540405,3.7123570616726425,1.0,19,20
STEW,39,20.043582994256077,22.298017489908208,2.3038069472328626,3.7373956519670712,1.0,20,19
STEW,4,189.94635875077086,13.861248749972043,0.9394945234957751,1.2596581806546998,1.0,18,23
STEW,40,11.89908903800165,28.321863651447075,1.9095800867466692,5.214148462680723,1.0,24,23
STEW,41,2579.508298511025,17.020038056040406,2.089464421702192,2.2645158526895517,1.0,25,21
STEW,42,6.784333892467454,11.264273965756896,1.2876890202785163,1.7304965052648862,1.0,24,30
STEW,43,24.678468376289935,38.424514869764884,1.1229587789745203,1.6280022219874857,1.0,15,18
STEW,44,1634.7112842616648,3215.855485089981,1.2307649529342288,2.201346426301155,1.0,20,20
STEW,45,11.236897693643293,29.184000358379826,0.7260085094398924,2.3004681506984244,1.0,22,14
STEW,46,14.608374402429803,22.912205936609116,1.573055568986225,2.4574091032553067,1.0,20,26
STEW,47,12.528279554917875,50.802600373811416,1.9872707109463714,1.98825118942589,1.0,23,27
STEW,48,10.082765298555708,13.696349511706066,0.788436748752557,1.7398085587025673,1.0,19,20
STEW,5,29.687150761876122,18.733633568066175,1.9505123815933971,1.387481221744399,1.0,23,22
STEW,6,30.937587077047496,56.87933155836082,4.360774541146359,6.902460295978384,1.0,22,15
STEW,7,39.59587283892661,22.445911474592595,1.4764033447284461,1.7185783851481315,1.0,22,25
STEW,8,8.613090485915444,4635.0446651352495,1.2683864567779766,2.462789205047451,1.0,16,16
STEW,9,23.498610271972787,16.63281685792876,0.5911479092863438,1.0940432655673633,1.0,18,19
